"date","pr","tas","tasrange","tasskew"
1987-02-02,4.86694298160728e-05,270.454803466797,11.6009521484375,0.590137839317322
1987-02-03,1.93417199625401e-05,277.245483398438,6.488525390625,0.310997277498245
1987-02-04,1.20883678391692e-05,277.5048828125,4.91006469726562,0.420596301555634
1987-02-05,2.19281992031028e-05,276.029937744141,2.76364135742188,0.558431506156921
1987-02-06,2.2262488528213e-06,272.85888671875,3.46099853515625,0.558028399944305
1987-02-07,4.54840892416541e-06,271.213989257812,3.04428100585938,0.418074280023575
1987-02-08,5.60842199774925e-05,274.198516845703,3.45831298828125,0.607075393199921
1987-02-09,1.3838883205608e-05,275.688995361328,5.03866577148438,0.616254925727844
1987-02-10,3.00630699712201e-06,272.754028320312,3.75930786132812,0.339667975902557
1987-02-11,5.97380312683526e-06,271.20166015625,3.99545288085938,0.571190714836121
1987-02-12,2.17387764678278e-06,271.054321289062,5.63058471679688,0.481168329715729
1987-02-13,2.66109273070469e-05,273.625122070312,5.65127563476562,0.582457184791565
1987-02-14,3.47921777574811e-05,278.700134277344,4.33065795898438,0.603536128997803
1987-02-15,2.06511845135537e-06,277.674530029297,4.36721801757812,0.491750806570053
1987-02-16,2.93144257739186e-05,275.588592529297,3.0338134765625,0.459169924259186
1987-02-17,6.70489389449358e-05,278.307891845703,2.8037109375,0.712981104850769
1987-02-18,4.71701605420094e-05,277.003509521484,5.10748291015625,0.658548533916473
1987-02-19,1.41780938065494e-05,274.005126953125,2.85195922851562,0.40397846698761
1987-02-20,1.69493305293145e-05,277.014190673828,3.94091796875,0.548592209815979
1987-02-21,3.19089158438146e-05,278.290313720703,4.29730224609375,0.489525198936462
1987-02-22,1.7120236179835e-06,276.157287597656,5.55569458007812,0.421067953109741
1987-02-23,3.92357724194881e-05,275.872741699219,5.64968872070312,0.514419674873352
1987-02-24,5.85252792006941e-06,273.152801513672,3.90524291992188,0.329655289649963
1987-02-25,8.68133867015786e-08,272.669281005859,5.71331787109375,0.310030221939087
1987-02-26,9.95701993815601e-05,274.734283447266,10.2819519042969,0.394246101379395
1987-02-27,1.37721008286462e-05,283.90771484375,5.1551513671875,0.543173253536224
1987-02-28,2.50615357799688e-06,282.170745849609,8.254638671875,0.526097297668457
1987-03-01,7.94492461864138e-06,280.905090332031,8.95669555664062,0.451584875583649
1987-03-02,1.77724996319739e-06,277.985595703125,7.52175903320312,0.387470424175262
1987-03-03,8.24149901745841e-06,279.196990966797,11.5669555664062,0.515423715114594
1987-03-04,8.1772186604212e-06,279.189849853516,7.91616821289062,0.481189072132111
1987-03-05,9.83892122778506e-23,281.136932373047,12.512451171875,0.478985786437988
1987-03-06,1.10898618004285e-05,281.388854980469,9.1895751953125,0.555442273616791
1987-03-07,7.11065922587295e-06,276.617584228516,7.92294311523438,0.448106646537781
1987-03-08,1.39989042509114e-05,275.832550048828,7.86236572265625,0.484920471906662
1987-03-09,1.39042813316337e-05,276.257598876953,4.70806884765625,0.474260091781616
1987-03-10,4.56468806078192e-05,274.569702148438,3.11593627929688,0.470936208963394
1987-03-11,1.12738825919223e-05,274.55810546875,6.170654296875,0.518432259559631
1987-03-12,0.00013877589663025,278.970947265625,5.420654296875,0.563927173614502
1987-03-13,2.01626098714769e-05,275.107299804688,4.3809814453125,0.4632268846035
1987-03-14,1.71955343830632e-05,273.718719482422,2.8720703125,0.339797258377075
1987-03-15,3.61259867531771e-06,273.03564453125,7.40151977539062,0.497272521257401
1987-03-16,9.61647856456693e-07,273.237182617188,6.11199951171875,0.429328233003616
1987-03-17,3.64382249244954e-05,275.861572265625,9.5010986328125,0.548941314220428
1987-03-18,2.62167995970231e-05,281.354797363281,4.54861450195312,0.499225080013275
1987-03-19,1.09118661839602e-06,278.766723632812,6.8021240234375,0.557085931301117
1987-03-20,1.37039642140735e-05,277.258544921875,8.1534423828125,0.61255669593811
1987-03-21,6.66923938297259e-07,283.879821777344,9.586669921875,0.427155762910843
1987-03-22,6.32308583590202e-05,284.756774902344,6.19467163085938,0.458566308021545
1987-03-23,4.02534824388567e-05,279.394989013672,6.54006958007812,0.656092941761017
1987-03-24,4.25332509621512e-05,277.313018798828,6.22406005859375,0.496861964464188
1987-03-25,7.16674767318182e-05,278.249816894531,6.46173095703125,0.593842387199402
1987-03-26,1.58673046826152e-05,276.276184082031,7.630615234375,0.459418505430222
1987-03-27,6.36264521745034e-05,277.531677246094,9.0372314453125,0.608877122402191
1987-03-28,6.12052899668925e-05,281.302307128906,7.80410766601562,0.489592343568802
