"date","pr","tas","tasrange","tasskew","hurs","sfcWind","rsds"
2006-01-01,2.09091904253e-05,274.465209960938,2.56134033203125,0.639759302139282,98.423713684082,3.95499777793884,6.62631034851074
2006-01-02,6.9889661972411e-05,276.830261230469,5.53265380859375,0.418701112270355,94.6093978881836,6.37544918060303,7.7831711769104
2006-01-03,7.85011616244446e-06,280.548675537109,2.40017700195312,0.327175170183182,86.0819625854492,7.74567556381226,13.2359228134155
2006-01-04,2.25490512093529e-05,279.49365234375,4.22784423828125,0.399312824010849,86.2438049316406,7.72217559814453,32.171070098877
2006-01-05,2.52913941949373e-05,276.427459716797,3.48971557617188,0.436288267374039,79.517692565918,6.20744943618774,43.2306327819824
2006-01-06,2.52360714512179e-05,274.967376708984,1.47189331054688,0.490555852651596,94.5975646972656,5.00329065322876,10.7629127502441
2006-01-07,2.50210523518035e-05,276.801727294922,1.992431640625,0.493398487567902,93.8157424926758,5.5592999458313,13.9892807006836
2006-01-08,1.27785533550195e-05,276.460479736328,2.16351318359375,0.472056865692139,93.1694793701172,4.54074811935425,9.94106292724609
2006-01-09,5.19207378602005e-06,275.915679931641,3.20504760742188,0.592622578144073,96.6712493896484,1.76502525806427,11.5487518310547
2006-01-10,2.12276718229987e-05,274.621154785156,4.05996704101562,0.339755117893219,97.0840301513672,3.83004927635193,11.3733377456665
2006-01-11,1.68610895343591e-05,280.219055175781,3.71633911132812,0.727904260158539,100.003868103027,4.98529863357544,5.77820110321045
2006-01-12,6.20991659161518e-06,278.569519042969,2.75457763671875,0.259068042039871,96.6595153808594,6.1763744354248,10.2835025787354
2006-01-13,2.81043994618813e-05,278.795227050781,2.6826171875,0.766791045665741,89.2644271850586,9.12615585327148,5.33394908905029
2006-01-14,4.48644141215482e-06,275.336364746094,1.98147583007812,0.412265717983246,86.2205581665039,5.46001052856445,24.6922874450684
2006-01-15,3.81044301320799e-05,275.723052978516,1.8887939453125,0.627673983573914,91.021598815918,4.00273466110229,12.6567935943604
2006-01-16,1.35594254970783e-05,275.424224853516,1.080078125,0.534329771995544,95.1768264770508,3.37738990783691,12.8751573562622
2006-01-17,6.46699163553421e-06,275.024230957031,2.07513427734375,0.637121677398682,91.5761413574219,5.59327030181885,13.7296953201294
2006-01-18,1.12216075649485e-05,273.069305419922,3.677490234375,0.358618795871735,84.7437133789062,2.66206932067871,47.603515625
2006-01-19,3.03193410218228e-05,271.677795410156,3.0714111328125,0.599906623363495,90.9283142089844,5.21550750732422,21.6938514709473
